343542.0661,8117213.834,462.4224
343535.0403,8117198.867,461.7846
343536.269,8117196.733,461.5765
343566.9583,8117149.712,459.2989
343577.1128,8117137.747,458.172
343583.5682,8117133.957,457.8978
343587.8156,8117138.999,458.4028
343591.6608,8117136.774,458.4973
343597.6745,8117117.103,457.5116
343603.7773,8117098.392,456.8984
343614.1179,8117058.83,456.1489
343617.4225,8117049.549,456.0669
343622.5028,8117042.862,456.1704
343639.668,8117031.66,456.914
343646.1386,8117029.638,457.1561
343647.9976,8117029.64,457.3336
343695.7639,8117031.608,459.5477
343697.8354,8117032.423,459.5471
343743.7761,8117121.529,463.4167
343749.2173,8117119.638,463.4724
343757.5425,8117120.836,463.8054
343761.578,8117126.526,464.2653
343821.9271,8117244.003,470.7221
343824.4617,8117248.656,470.7554
343829.6201,8117247.549,471.0298
343838.9797,8117251.133,471.147
343849.1254,8117254.28,471.3713
343857.6727,8117255.431,471.3838
343863.365,8117252.898,471.3204
343869.7299,8117249.772,471.2377
343929.6941,8117198.314,469.446
343942.2269,8117191.42,468.8555
343956.3419,8117187.771,467.982
343996.5848,8117174.69,466.406
343999.4263,8117176.088,466.4426
344013.4079,8117203.601,467.0869
344019.386,8117202.057,466.8804
344028.3329,8117203.241,466.4703
344041.8534,8117202.039,466.1431
344051.2072,8117202.477,466.3374
344053.009,8117203.531,466.454
344102.6749,8117300.275,470.205
344106.4879,8117307.592,470.4957
344111.1878,8117306.614,470.4116
344122.6483,8117312.174,470.9282
344141.0125,8117314.923,471.3578
344172.639,8117376.331,473.6502
344177.9054,8117386.509,474.0977
344177.5142,8117389.012,474.2682
344164.967,8117396.621,474.5146
344151.8956,8117402.595,474.6801
344125.4516,8117411.591,475.0867
344098.879,8117420.395,475.1872
344065.0206,8117431.58,475.5488
344052.509,8117437.552,475.6923
344019.8791,8117450.998,475.8587
344001.2251,8117459.631,475.8845
343981.0958,8117467.765,475.9264
343935.2829,8117485.204,475.9126
343921.8902,8117490.409,475.9896
343902.4922,8117497.367,476.1458
343889.7275,8117503.041,476.0361
343878.0396,8117510.627,475.9009
343867.0742,8117520.568,476.1324
343862.4388,8117525.809,476.1658
343766.264,8117616.134,476.0128
343755.6614,8117625.885,475.9037
343753.273,8117624.838,475.6842
343748.2189,8117616.381,475.2967
344012.1353,8117460.221,475.7058
344019.4326,8117455.539,475.7631
344048.0876,8117444.624,475.3695
344064.0061,8117437.24,475.4544
344078.2275,8117431.645,475.3613
344142.7975,8117410.497,474.6792
344167.6947,8117401.966,474.2884
344183.327,8117395.543,474.0481
344192.2624,8117401.975,474.433
344196.2927,8117398.613,473.9653
344201.8046,8117394.271,473.9486
344210.3222,8117383.418,473.8671
344214.6937,8117368.977,474.0015
344221.3742,8117348.642,473.6094
344226.5721,8117342.56,473.398
344228.5407,8117342.019,473.4143
344242.3852,8117352.341,474.1132
344341.0584,8117427.558,477.8413
344353.014,8117435.743,478.0045
344356.7403,8117432.369,478.0928
344361.9091,8117427.616,478.2822
344376.644,8117412.637,478.6086
344378.5593,8117412.135,478.5653
344402.747,8117429.745,479.9645
344420.5889,8117445.3,480.6467
344439.2342,8117467.498,481.7103
344490.0936,8117533.665,485.0167
344502.7852,8117552.172,485.8565
344510.2433,8117565.91,486.2964
344535.0899,8117619.734,488.5288
344540.0878,8117632.35,488.9627
344542.1752,8117643.703,489.5616
344543.6115,8117653.592,489.7467
344544.0544,8117671.144,490.3853
344541.3626,8117678.736,490.7864
344534.6859,8117682.785,490.8052
344505.8837,8117695.583,491.0819
344354.8841,8117755.557,494.7963
344339.8448,8117762.822,495.33
344296.8706,8117782.826,496.5741
344275.2012,8117793.037,496.968
344272.4456,8117793.135,496.8881
344259.2242,8117782.781,496.1993
343909.3617,8117517.38,476.2692
343897.214,8117507.514,475.9505
343898.0865,8117505.708,475.8052
343912.8785,8117499.857,475.9506
343591.4934,8117697.855,470.588
343584.0949,8117687.536,470.395
343567.1374,8117665.958,469.6267
343546.1287,8117640.232,467.864
343526.143,8117613.474,465.969
343526.3243,8117609.783,465.9179
343557.5358,8117581.11,467.0794
343576.5364,8117563.414,467.596
