E12069,343542.0661,8117213.8344,462.4224
E12068,343535.0403,8117198.8674,461.7846
E12067,343536.2690,8117196.7333,461.5765
E12066,343566.9583,8117149.7120,459.2989
E12065,343577.1128,8117137.7468,458.1720
E12064,343583.5682,8117133.9569,457.8978
E12063,343587.8156,8117138.9988,458.4028
E12062,343591.6608,8117136.7743,458.4973
E12061,343597.6745,8117117.1028,457.5116
E12060,343603.7773,8117098.3922,456.8984
E12059,343614.1179,8117058.8302,456.1489
E12058,343617.4225,8117049.5485,456.0669
E12057,343622.5028,8117042.8619,456.1704
E12056,343639.6680,8117031.6604,456.9140
E12055,343646.1386,8117029.6380,457.1561
E12054,343647.9976,8117029.6397,457.3336
E12053,343695.7639,8117031.6076,459.5477
E12052,343697.8354,8117032.4234,459.5471
E12051,343743.7761,8117121.5289,463.4167
E12050,343749.2173,8117119.6382,463.4724
E12049,343757.5425,8117120.8357,463.8054
E12048,343761.5780,8117126.5258,464.2653
E12047,343821.9271,8117244.0031,470.7221
E12046,343824.4617,8117248.6555,470.7554
E12045,343829.6201,8117247.5487,471.0298
E12044,343838.9797,8117251.1334,471.1470
E12043,343849.1254,8117254.2797,471.3713
E12042,343857.6727,8117255.4311,471.3838
E12041,343863.3650,8117252.8981,471.3204
E12040,343869.7299,8117249.7721,471.2377
E12039,343929.6941,8117198.3136,469.4460
E12038,343942.2269,8117191.4195,468.8555
E12037,343956.3419,8117187.7707,467.9820
E12036,343996.5848,8117174.6899,466.4060
E12035,343999.4263,8117176.0878,466.4426
E12034,344013.4079,8117203.6014,467.0869
E12033,344019.3860,8117202.0570,466.8804
E12032,344028.3329,8117203.2408,466.4703
E12031,344041.8534,8117202.0391,466.1431
E12030,344051.2072,8117202.4770,466.3374
E12029,344053.0090,8117203.5305,466.4540
E12028,344102.6749,8117300.2747,470.2050
E12027,344106.4879,8117307.5922,470.4957
E12026,344111.1878,8117306.6139,470.4116
E12025,344122.6483,8117312.1742,470.9282
E12024,344141.0125,8117314.9230,471.3578
E12023,344172.6390,8117376.3314,473.6502
E12022,344177.9054,8117386.5089,474.0977
E12021,344177.5142,8117389.0118,474.2682
E12020,344164.9670,8117396.6211,474.5146
E12019,344151.8956,8117402.5954,474.6801
E12018,344125.4516,8117411.5906,475.0867
E12017,344098.8790,8117420.3954,475.1872
E12016,344065.0206,8117431.5799,475.5488
E12015,344052.5090,8117437.5523,475.6923
E12014,344019.8791,8117450.9982,475.8587
E12013,344001.2251,8117459.6313,475.8845
E12012,343981.0958,8117467.7645,475.9264
E12011,343935.2829,8117485.2038,475.9126
E12010,343921.8902,8117490.4093,475.9896
E12009,343902.4922,8117497.3668,476.1458
E12008,343889.7275,8117503.0412,476.0361
E12007,343878.0396,8117510.6269,475.9009
E12006,343867.0742,8117520.5682,476.1324
E12005,343862.4388,8117525.8087,476.1658
E12004,343766.2640,8117616.1336,476.0128
E12003,343755.6614,8117625.8847,475.9037
E12002,343753.2730,8117624.8382,475.6842
E12001,343748.2189,8117616.3812,475.2967
E11047,344012.1353,8117460.2212,475.7058
E11046,344019.4326,8117455.5390,475.7631
E11045,344048.0876,8117444.6236,475.3695
E11044,344064.0061,8117437.2400,475.4544
E11043,344078.2275,8117431.6450,475.3613
E11042,344142.7975,8117410.4965,474.6792
E11041,344167.6947,8117401.9655,474.2884
E11040,344183.3270,8117395.5427,474.0481
E11039,344192.2624,8117401.9754,474.4330
E11038,344196.2927,8117398.6127,473.9653
E11037,344201.8046,8117394.2713,473.9486
E11036,344210.3222,8117383.4178,473.8671
E11035,344214.6937,8117368.9771,474.0015
E11034,344221.3742,8117348.6418,473.6094
E11033,344226.5721,8117342.5601,473.3980
E11032,344228.5407,8117342.0188,473.4143
E11031,344242.3852,8117352.3411,474.1132
E11030,344341.0584,8117427.5579,477.8413
E11029,344353.0140,8117435.7429,478.0045
E11028,344356.7403,8117432.3694,478.0928
E11027,344361.9091,8117427.6160,478.2822
E11026,344376.6440,8117412.6370,478.6086
E11025,344378.5593,8117412.1351,478.5653
E11024,344402.7470,8117429.7450,479.9645
E11023,344420.5889,8117445.3003,480.6467
E11022,344439.2342,8117467.4984,481.7103
E11021,344490.0936,8117533.6651,485.0167
E11020,344502.7852,8117552.1717,485.8565
E11019,344510.2433,8117565.9097,486.2964
E11018,344535.0899,8117619.7340,488.5288
E11017,344540.0878,8117632.3504,488.9627
E11016,344542.1752,8117643.7033,489.5616
E11015,344543.6115,8117653.5922,489.7467
E11014,344544.0544,8117671.1443,490.3853
E11013,344541.3626,8117678.7358,490.7864
E11012,344534.6859,8117682.7850,490.8052
E11011,344505.8837,8117695.5834,491.0819
E11010,344354.8841,8117755.5568,494.7963
E11009,344339.8448,8117762.8217,495.3300
E11008,344296.8706,8117782.8256,496.5741
E11007,344275.2012,8117793.0373,496.9680
E11006,344272.4456,8117793.1353,496.8881
E11005,344259.2242,8117782.7814,496.1993
E11004,343909.3617,8117517.3804,476.2692
E11003,343897.2140,8117507.5139,475.9505
E11002,343898.0865,8117505.7078,475.8052
E11001,343912.8785,8117499.8573,475.9506
E10073,343591.4934,8117697.8545,470.5880
E10072,343584.0949,8117687.5356,470.3950
E10071,343567.1374,8117665.9581,469.6267
E10070,343546.1287,8117640.2320,467.8640
E10069,343526.1430,8117613.4735,465.9690
E10068,343526.3243,8117609.7825,465.9179
E10067,343557.5358,8117581.1095,467.0794
E10066,343576.5364,8117563.4141,467.5960
E10065,343580.7358,8117560.9726,467.8004
E10064,343584.6842,8117563.8897,468.0290
E10063,343613.0506,8117537.5172,468.5061
E10062,343609.7809,8117534.3257,468.5232
E10061,343591.8296,8117535.2542,467.3583
E10060,343570.3238,8117534.9514,466.7569
E10059,343543.3267,8117533.0814,465.6355
E10058,343538.7963,8117530.0492,465.7117
E10057,343531.5356,8117536.3147,465.0152
E10056,343526.1832,8117532.2936,465.4252
E10055,343513.3498,8117543.9551,464.0946
E10054,343511.3713,8117543.7402,464.1063
E10053,343507.1405,8117542.1670,464.0744
E10052,343494.5105,8117553.5151,462.6961
E10051,343492.5127,8117552.5478,462.6372
E10050,343482.3672,8117541.5351,463.2315
E10049,343436.6113,8117485.2694,465.2753
E10048,343393.5676,8117445.1973,465.8760
E10047,343379.3862,8117430.6884,465.9040
E10046,343364.2275,8117408.2371,465.2613
E10045,343346.1494,8117382.6529,463.3409
E10044,343330.6457,8117359.9983,461.9596
E10043,343315.1488,8117338.5825,460.9680
E10042,343297.6880,8117325.6065,460.1426
E10041,343279.9796,8117315.3707,459.4098
E10040,343254.4899,8117302.0354,458.6081
E10039,343228.6105,8117290.3601,458.6522
E10038,343209.0268,8117281.3268,458.8741
E10037,343187.5164,8117273.8882,459.0287
E10036,343175.7819,8117266.6986,459.2686
E10035,343174.3234,8117265.0634,459.2371
E10034,343184.8542,8117252.6706,459.7352
